# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	pInv	default.ucld.mean	default.ucld.stdev	location.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	location.meanRate	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates	default.treeLikelihood	default.branchRates	location.branchRates	location.treeLikelihood	coalescent
1200000	-112636.87162786207	-3974.4912970827336	-108662.38033077934	0.3766612306258328	2023.1849826049906	28.82983797254707	8.63295792211608	1.015594907838657	0.25682531404703973	0.2466855408681242	0.24688485822764542	0.24960428685719113	0.5522187197172097	0.21651603697807012	0.034246927360639626	0.026092353823665815	1.0192700246413908	0.032204560695109796	0.6901510349011606	0.030979948000573077	1.0192700246413906	0.5705975354108634	3.1352551712692143	0.2745404417053842	0.8293249333417994	0.1706475811743583	0.3411610673628231	1.7101903988729776	1.7846004655808607	0.6257505270855916	1.1010328890401704	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108366.30526623089	-3136.17843910797	0.0	-296.07506454845077	-787.810921787817
1300000	-112651.01163265221	-3986.603657882055	-108664.40797477016	0.3866187639752541	2023.1750250716411	29.094124852206207	8.621602340229126	0.9423391972901825	0.2543997528111651	0.24898565315451804	0.2443467384082118	0.2522678556261054	0.5121636723322748	0.034107367571264126	0.03385650945589911	0.025515189416200526	1.1991945167523372	0.03157328762893085	0.6857584594427278	0.001548329300553251	1.1991945167523368	0.6404492557707891	0.036931659320570145	0.5831624624044223	1.7255237011317137	1.947400796459984	1.8159419731380728	1.739683946176809	1.033113454952564	1.3490644808955916	3.3684477321893227	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108372.71290295506	-3136.17843910797	0.0	-291.69507181510346	-790.7674901516114
1400000	-112622.49245655602	-3983.30263216979	-108639.18982438624	0.3976328543337126	2023.1640109812827	28.97694576929183	9.067188576111644	0.9628408306656302	0.2478603132261059	0.2466833314308583	0.2463694158337672	0.2590869395092691	0.5214419974485329	0.13406191271852536	0.0332775042905418	0.024281654310182116	1.2039925522069281	0.031235470654277325	0.7081418849842107	0.05299798712639808	1.2039925522069272	0.3138619528462447	2.5006684373477564E-4	0.25388365965060383	0.5942360922806156	0.5760888369920184	0.24896430523146001	1.51215394520176	1.2376864638583045	0.8578195694829697	2.784863971654513	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0	-108346.0206036303	-3136.17843910797	0.0	-293.1692207559409	-789.144256662428
1500000	-112622.70956063796	-3965.969814306366	-108656.73974633159	0.3752670196681485	2023.1863768159483	27.922423493821185	8.187480472957182	1.0043459581843024	0.24741490591824344	0.25582646223708083	0.24758055742567878	0.2491780744189973	0.5681697470291583	0.28183257852076593	0.036327097582534947	0.025690226526193197	1.236380076784885	0.03395388186904398	0.6565965503293332	0.04086644051415034	1.2363800767848865	0.5249038270142155	0.35563714392070794	0.22383198133697152	0.8421064160314559	0.4695899486009435	0.5864979085712323	1.848120776443831	0.10143521909613382	0.5132788323056131	1.918490749736799	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108368.49449206334	-3136.17843910797	0.0	-288.24525426824755	-777.1530447166315
1600000	-112634.20967303574	-3961.0851711870537	-108673.1245018487	0.3692348968923086	2023.1924089387242	27.52147224207708	8.069392210117362	0.9803142529887313	0.2538883556897756	0.2517542258529599	0.24705287797377173	0.2473045404834928	0.569255615545797	0.19801995702899805	0.03607751322725567	0.02744550481841937	1.1424339365920146	0.033946422241280895	0.6868078557134872	0.04571757384644662	1.1424339365920142	0.31047880206816664	0.5281193455280454	0.35245318678661325	0.5194766916896821	0.4330513185800053	0.45386059033061305	1.6496561262864757	1.9021921757960256	0.6123057088457182	1.4589441851834108	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108382.4921696143	-3136.17843910797	0.0	-290.63233223439744	-774.5787440173691
1700000	-112583.84912396895	-3947.1671993882233	-108636.68192458073	0.38821840284233244	2023.1734254327741	26.849515856518384	7.713103002377041	0.9609529485435595	0.2527210609009069	0.2496997491918997	0.24255151806355804	0.25502767184363556	0.5361677562392804	0.18523975250834496	0.03724330386911572	0.02829820510206268	0.9997227456652718	0.0350425433213055	0.6969142673770348	0.025701468656363503	0.9997227456652699	0.504272408577699	0.6243367923512315	0.5606259979972342	0.7271953760604787	0.3663565618101307	1.0861376823588287	1.8252839259270635	0.17605474550071146	1.114505578870682	1.8794316352561689	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108341.34416026779	-3136.17843910797	0.0	-295.3377643129368	-764.7514290172038
1800000	-112625.29267142226	-3951.3208221654268	-108673.97184925684	0.36758837505004605	2023.1940554605665	27.19279421030799	7.720013059294836	0.9540025744887609	0.2556329155379307	0.2504991385977404	0.24622852764590994	0.24763941821841906	0.777073441138559	0.7371705793769575	0.04145084207213123	0.03357392118966395	1.1998205596884253	0.0388089017677413	0.7326653844166479	0.011194601132662898	1.1998205596884264	0.42534854774530073	0.47360410435510014	0.031126029141682554	0.305640617367422	0.2660974584871696	0.346182299416524	0.6927499575857435	0.4866295224435215	0.24014702733544963	1.1686523017186794	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0	-108379.3789230999	-3136.17843910797	0.0	-294.59292615694153	-768.5461134270078
1900000	-112581.08388407262	-3937.602748357701	-108643.48113571492	0.34676768714554995	2023.214876148471	25.69169387043348	7.140591021826506	0.9997316986138068	0.2533664720527329	0.2489143509852463	0.24740586990719649	0.2503133070548246	0.7290259356036436	0.6186931656019272	0.04363743813469507	0.03374731337858451	1.0745280763891865	0.041418931287249786	0.7062965705765438	0.07676306985148282	1.0745280763891867	0.9033359546908974	0.5517615874037021	0.6470590131549909	1.0428809856646117	0.941538935548213	0.8839274071912657	2.2708691204307385	0.2511516846686013	0.47079419975753795	1.4361311718593945	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	8.0	-108344.46433230827	-3136.17843910797	0.0	-299.01680340664404	-753.2686400233871
2000000	-112604.10464836798	-3961.8492675267703	-108642.2553808412	0.37181892778913594	2023.1898249078274	26.390081224826464	8.508941636483291	0.9568649154525825	0.25384949414848146	0.24830212760351883	0.249725921820705	0.24812245642729497	0.7074861046270381	0.6202783759303385	0.04212004661345577	0.03206583507107592	1.6933130327644463	0.03999584488861177	0.6675240700052236	-0.07170292763424342	1.6933130327644481	0.2646940948209178	0.6126681622876302	0.2753164520681338	1.1156221190799074	1.0080682380061903	0.0826774787326537	0.9867250640373999	1.3015697035986127	0.5847900477080322	1.7129030127988931	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108359.9798907461	-3136.17843910797	0.0	-282.2754900951061	-761.6027984827981
2100000	-112606.37966537027	-3961.9224193258574	-108644.45724604442	0.38022515302788135	2023.1814186825886	26.501110902417203	7.663308239117714	0.9926719228925883	0.25298237389681466	0.24556517263884653	0.24574117524037942	0.2557112782239595	0.7248201041129833	0.7317051695976974	0.04212897366312924	0.03125094998799743	1.1853737701686209	0.03928615446161047	0.6849049340921661	0.04422670466207434	1.1853737701686216	0.6383349712683831	2.4371273666761093	0.9011649926187436	1.7027718400032166	2.4766184235994557	1.874960016273731	3.5334881896457784	2.30126942131406	2.34601452536066	3.5747102093910157	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0	-108356.2228232088	-3136.17843910797	0.0	-288.2344228356209	-761.3455357247514
