# BEAST v10.5.0
# Generated Thu Apr 09 12:59:51 CEST 2026 [seed=1775732390055]
# Binome_6.xml
state	location.rates.CHN.KHM	location.rates.CHN.LAO	location.rates.CHN.THA	location.rates.CHN.VNM	location.rates.KHM.LAO	location.rates.KHM.THA	location.rates.KHM.VNM	location.rates.LAO.THA	location.rates.LAO.VNM	location.rates.THA.VNM	location.indicators.CHN.KHM	location.indicators.CHN.LAO	location.indicators.CHN.THA	location.indicators.CHN.VNM	location.indicators.KHM.LAO	location.indicators.KHM.THA	location.indicators.KHM.VNM	location.indicators.LAO.THA	location.indicators.LAO.VNM	location.indicators.THA.VNM	location.nonZeroRates
3400000	0.5314959447250233	1.0037026560084377	0.15094909828151268	0.9287003653997227	0.7983545846933588	0.14716757173990214	1.5111153641703274	0.03827054742009744	0.6114951520927878	1.4332779091326215	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
3500000	1.411069256227193	0.3393668295655585	0.36755925427403	1.9414458558288696	0.3812543769691235	0.5144215419662829	3.4487608627893134	1.9975361228397424	0.8846728101549383	3.4011767961304025	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
3600000	0.9407960428360673	1.0700678583004544	2.6369892218430233	1.2509748634168394	0.9747315874521603	1.2332649698660998	2.526058420065444	0.11335592273162963	1.6689809199611056	1.980220678368667	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
3700000	0.9487020538187185	1.3844811049974184	0.09996001168811967	0.7185826625339616	0.4689761058499659	1.0102902899714603	2.235663362057058	0.11184560927220538	1.268982309022411	1.17234655626456	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.0
3800000	0.059103752291501985	1.182025939116334	0.22045406420900407	0.36401738312375753	0.44737388214031376	0.20624317731738598	0.600644785024106	0.04681268510835976	0.35646107943198246	0.7006325487845759	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
3900000	1.0472625439594865	1.080289065922407	1.3314390808648788	2.0512054349219833	1.7279929414410302	1.1663637177165156	3.1743533834838584	0.0047123656232781076	1.5974398114496076	4.3445510775362015	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
4000000	0.6191020998690951	0.4532382242381245	1.0836034246628223	0.812975768098011	1.3203125504702682	0.3941618667809138	3.2496271615039127	1.096394971095332	0.8523381390686451	1.8642416911155744	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
4100000	0.5745581901846492	0.028840252646239795	0.13448595604302574	1.7906828922020925	0.2721313673437598	0.4919585414794354	1.6847300978774382	1.419013504610327	0.7495711588912898	2.254151248101948	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
4200000	0.2536874591291867	1.257701004611455	0.6661982527140473	0.5429593468988155	0.3461180039785314	0.5251783005607208	1.259728518692999	0.16333920420787473	0.5931115512261467	1.0418117884662652	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
4300000	0.9927865876505092	0.27693606951086247	0.2135724793871526	1.3281965195798553	0.2902495752293426	0.9453123176348709	1.1254741880251566	0.13720010039476838	0.6847100935775533	2.1697801638297034	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	9.0
4400000	0.356527209907472	0.33564480227908233	0.7495241037573444	0.4355701950010222	0.1579914715048873	0.1559460406138039	0.7403437003501393	0.5795000578882035	0.3051865458175122	1.0310670622071878	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
4500000	0.19784631391327312	0.21749170866628137	1.447234676399219	1.5090020137800597	2.1556080883182664	0.4595673382830767	2.093694293814145	1.952795720528672	1.8798967924755303	2.59301434152851	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	9.0
4600000	0.7934530971329476	0.11464539152388675	0.19845265115934715	1.309016904478488	1.1657714656002212	0.6962969336742509	2.1406296843561003	0.52957788714244	2.2150855522778126	2.1793742564266316	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0
4700000	0.4395045889485451	1.840073751012587	0.6440253688406339	1.2675365872689672	1.2121726160312845	0.34768214824572435	1.9913404166302826	1.9507454662920474	0.6343415192076033	1.2448419534249635	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
4800000	0.6557126332421116	0.550187736607331	1.38196834119258	1.5131887537461934	0.9550291890589238	1.0338595855972617	3.2807734259051347	0.734249287653221	1.6569820317799664	2.326098485986967	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
4900000	0.9785306414007391	1.8321823740075407	0.15147608982009797	1.7000497756073567	1.3413316207671886	0.3547098094417605	1.8934906716333177	0.015197656793202747	0.5729836330552637	4.222882041987894	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	7.0
5000000	0.5663571193578285	0.1807877333021538	0.2111845875465292	0.4853425536802559	0.8332138716010727	0.10641010998172928	0.8859340503518871	1.541919045129992	0.2600845796160749	1.387740053747644	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
5100000	0.02651253086996593	0.8592302256662588	0.5348087609757073	0.23872770883587133	0.10316935342844005	3.205005907290008	0.21736178084410415	0.16018913454841946	0.1017666133768288	0.2955272677768828	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
5200000	0.8196790612583561	5.586039422999207	0.1292852233540615	1.4041254470367632	0.5442545223117448	0.805682101199239	2.5218374160590105	2.8802310212112507	1.6175755197417645	3.0268273631630573	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	8.0
