id,type,length,start_time,end_time,start_name,start_lat,start_lon,end_name,end_lat,end_lon
313,External,0.10667896783389606,2023-06-10 12:29:32,2023-07-19 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
314,Internal,0.018850339958121354,2023-06-10 12:29:32,2023-06-17 09:37:16,VNM,16.5,107.5,VNM,16.5,107.5
315,External,0.07412999773876038,2023-06-17 09:37:16,2023-07-14 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
316,External,0.07412999773876038,2023-06-17 09:37:16,2023-07-14 10:59:59,VNM,16.5,107.5,THA,15.0,100.0
317,External,0.09545763113788988,2023-06-09 14:47:28,2023-07-14 10:59:59,VNM,16.5,107.5,THA,15.0,100.0
318,Internal,0.02502518867417075,2023-05-23 13:26:31,2023-06-01 16:39:45,VNM,16.5,107.5,VNM,16.5,107.5
319,External,0.08154535293456755,2023-06-01 16:39:45,2023-07-01 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
320,Internal,0.007309269471207802,2023-06-01 16:39:45,2023-06-04 08:41:30,VNM,16.5,107.5,VNM,16.5,107.5
321,Internal,0.043278641892913625,2023-06-04 08:41:30,2023-06-20 03:48:46,VNM,16.5,107.5,VNM,16.5,107.5
322,Internal,0.0002984274659082603,2023-06-20 03:48:46,2023-06-20 06:25:37,VNM,16.5,107.5,VNM,16.5,107.5
323,External,0.07997408259765304,2023-06-20 06:25:37,2023-07-19 11:00:00,VNM,16.5,107.5,THA,15.0,100.0
324,External,0.08545353465236782,2023-06-20 06:25:37,2023-07-21 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
325,External,0.0802725100635613,2023-06-20 03:48:46,2023-07-19 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
326,Internal,0.014911734050840675,2023-06-04 08:41:30,2023-06-09 19:19:07,VNM,16.5,107.5,VNM,16.5,107.5
327,Internal,0.006540019770411534,2023-06-09 19:19:07,2023-06-12 04:36:33,VNM,16.5,107.5,VNM,16.5,107.5
328,External,0.05552405566946493,2023-06-12 04:36:33,2023-07-02 11:00:00,VNM,16.5,107.5,LAO,18.0,105.0
329,External,0.1075788501899375,2023-06-12 04:36:33,2023-07-21 10:59:59,VNM,16.5,107.5,KHM,13.0,105.0
330,Internal,0.05908730670660281,2023-06-09 19:19:07,2023-07-01 08:55:24,VNM,16.5,107.5,VNM,16.5,107.5
331,Internal,0.007919351030687659,2023-07-01 08:55:24,2023-07-04 06:17:49,VNM,16.5,107.5,VNM,16.5,107.5
332,Internal,0.008796252089521145,2023-07-04 06:17:49,2023-07-07 11:21:07,VNM,16.5,107.5,VNM,16.5,107.5
333,External,0.032836508078822636,2023-07-07 11:21:07,2023-07-19 11:00:00,VNM,16.5,107.5,CHN,35.0,105.0
334,External,0.04379541218847958,2023-07-07 11:21:07,2023-07-23 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
335,External,0.047112212223058565,2023-07-04 06:17:49,2023-07-21 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
336,External,0.06599046736340317,2023-07-01 08:55:24,2023-07-25 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
337,Internal,0.01427658554511238,2023-05-20 11:55:57,2023-05-25 16:59:43,VNM,16.5,107.5,VNM,16.5,107.5
338,Internal,0.07470586925949294,2023-05-25 16:59:43,2023-06-21 23:25:07,VNM,16.5,107.5,VNM,16.5,107.5
339,Internal,0.03614295417489855,2023-06-21 23:25:07,2023-07-05 04:01:51,VNM,16.5,107.5,VNM,16.5,107.5
340,External,0.041891427700979415,2023-07-05 04:01:51,2023-07-20 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
341,Internal,0.009215548722952424,2023-07-05 04:01:51,2023-07-08 12:45:33,VNM,16.5,107.5,THA,15.0,100.0
342,External,0.03541560500538438,2023-07-08 12:45:33,2023-07-21 10:59:59,THA,15.0,100.0,THA,15.0,100.0
343,External,0.04363478308768393,2023-07-08 12:45:33,2023-07-24 11:00:00,THA,15.0,100.0,THA,15.0,100.0
344,External,0.045157669547134516,2023-06-21 23:25:07,2023-07-08 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
345,Internal,0.10387561077971255,2023-05-25 16:59:43,2023-07-02 14:56:44,VNM,16.5,107.5,VNM,16.5,107.5
346,External,0.032426284191286625,2023-07-02 14:56:44,2023-07-14 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
347,External,0.0570838184379579,2023-07-02 14:56:44,2023-07-23 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
348,Internal,0.013947847657554024,2023-04-30 02:52:26,2023-05-05 05:03:25,VNM,16.5,107.5,VNM,16.5,107.5
349,Internal,0.08350547671570316,2023-05-05 05:03:25,2023-06-04 16:33:54,VNM,16.5,107.5,VNM,16.5,107.5
350,Internal,0.00032298431815780404,2023-06-04 16:33:54,2023-06-04 19:23:39,VNM,16.5,107.5,VNM,16.5,107.5
351,Internal,0.013504777842088561,2023-06-04 19:23:39,2023-06-09 17:41:46,VNM,16.5,107.5,VNM,16.5,107.5
352,Internal,0.004505440496026997,2023-06-09 17:41:46,2023-06-11 09:09:50,VNM,16.5,107.5,VNM,16.5,107.5
353,Internal,0.0015044151894196695,2023-06-11 09:09:50,2023-06-11 22:20:33,VNM,16.5,107.5,VNM,16.5,107.5
354,Internal,0.005174241595167897,2023-06-11 22:20:33,2023-06-13 19:40:08,VNM,16.5,107.5,VNM,16.5,107.5
355,External,0.06476381996693964,2023-06-13 19:40:08,2023-07-07 11:00:00,VNM,16.5,107.5,VNM,16.5,107.5
356,Internal,0.014502466975407205,2023-06-13 19:40:08,2023-06-19 02:42:37,VNM,16.5,107.5,VNM,16.5,107.5
357,External,0.03930244888187549,2023-06-19 02:42:37,2023-07-03 10:59:59,VNM,16.5,107.5,KHM,13.0,105.0
358,External,0.06943943518326155,2023-06-19 02:42:37,2023-07-14 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
359,Internal,0.0603940419502858,2023-06-11 22:20:33,2023-07-03 23:23:39,VNM,16.5,107.5,VNM,16.5,107.5
360,External,0.015023471666536524,2023-07-03 23:23:39,2023-07-09 10:59:59,VNM,16.5,107.5,VNM,16.5,107.5
