ID	collection_date	location
M-530	2023-06-26	VNM
M-531	2023-06-22	VNM
M-532	2023-07-17	VNM
M-533	2023-07-02	KHM
M-534	2023-06-25	KHM
M-535	2023-06-22	VNM
M-536	2023-06-26	VNM
M-537	2023-07-04	VNM
M-538	2023-06-23	VNM
M-539	2023-06-23	THA
M-540	2023-06-27	VNM
M-541	2023-06-28	VNM
M-542	2023-06-22	VNM
M-543	2023-06-26	VNM
M-544	2023-07-01	VNM
M-545	2023-06-28	VNM
M-546	2023-06-25	VNM
M-547	2023-07-13	KHM
M-548	2023-07-25	CHN
M-549	2023-07-07	CHN
M-550	2023-06-27	VNM
M-551	2023-06-26	VNM
M-552	2023-06-30	VNM
M-553	2023-06-26	VNM
M-554	2023-07-06	VNM
M-555	2023-06-30	VNM
M-556	2023-06-26	VNM
M-557	2023-06-25	KHM
M-558	2023-07-08	KHM
M-559	2023-06-26	KHM
M-560	2023-06-27	KHM
M-561	2023-07-01	KHM
M-562	2023-06-23	KHM
M-563	2023-06-25	VNM
M-564	2023-06-27	VNM
M-565	2023-06-22	VNM
M-566	2023-07-04	VNM
M-567	2023-06-30	VNM
M-568	2023-06-23	VNM
M-569	2023-06-23	KHM
M-570	2023-06-30	KHM
M-571	2023-06-25	VNM
M-572	2023-07-01	VNM
M-573	2023-06-28	KHM
H-187	2023-07-18	KHM
H-188	2023-07-19	KHM
H-189	2023-07-15	KHM
H-190	2023-07-19	VNM
H-191	2023-07-19	VNM
H-192	2023-07-19	VNM
H-193	2023-07-19	VNM
H-194	2023-07-18	VNM
H-195	2023-07-19	CHN
H-196	2023-07-18	VNM
H-197	2023-07-18	VNM
H-198	2023-07-19	VNM
H-199	2023-07-19	VNM
H-200	2023-07-19	VNM
H-201	2023-07-19	VNM
H-202	2023-07-19	VNM
H-203	2023-07-19	VNM
H-204	2023-07-17	VNM
H-205	2023-07-15	VNM
H-206	2023-07-19	KHM
H-207	2023-07-17	VNM
H-208	2023-07-20	VNM
H-209	2023-07-19	THA
H-210	2023-07-19	VNM
H-211	2023-07-15	VNM
M-574	2023-06-23	VNM
M-575	2023-07-19	KHM
M-576	2023-07-02	VNM
M-577	2023-07-02	VNM
M-578	2023-06-27	VNM
M-579	2023-06-28	VNM
M-580	2023-06-23	KHM
M-581	2023-06-28	KHM
M-582	2023-06-25	KHM
M-583	2023-06-26	VNM
M-584	2023-06-28	VNM
M-585	2023-06-25	VNM
M-586	2023-06-27	VNM
M-587	2023-06-23	VNM
M-588	2023-06-25	KHM
M-589	2023-07-02	VNM
M-590	2023-07-07	KHM
M-591	2023-07-25	VNM
M-592	2023-06-26	VNM
M-593	2023-07-06	VNM
M-594	2023-06-23	VNM
M-595	2023-06-25	CHN
M-596	2023-07-13	VNM
M-597	2023-06-28	VNM
M-598	2023-06-27	VNM
M-599	2023-06-26	VNM
M-600	2023-06-23	VNM
M-601	2023-06-26	VNM
M-602	2023-06-28	VNM
M-603	2023-06-27	VNM
M-604	2023-07-01	KHM
M-605	2023-06-26	KHM
M-606	2023-06-27	KHM
M-607	2023-06-27	KHM
M-608	2023-07-14	VNM
M-609	2023-06-27	VNM
M-610	2023-06-25	VNM
M-611	2023-06-28	VNM
M-612	2023-06-26	VNM
M-613	2023-06-25	VNM
M-614	2023-06-28	VNM
M-615	2023-07-03	VNM
M-616	2023-06-28	KHM
M-617	2023-06-26	KHM
M-618	2023-06-27	VNM
M-619	2023-06-26	KHM
M-620	2023-06-26	KHM
M-621	2023-06-23	VNM
M-622	2023-07-01	VNM
M-623	2023-06-27	VNM
M-624	2023-06-26	VNM
M-625	2023-06-26	VNM
M-626	2023-07-01	VNM
M-627	2023-07-09	VNM
M-628	2023-06-26	VNM
M-629	2023-06-27	KHM
M-630	2023-06-26	VNM
M-631	2023-07-01	KHM
M-632	2023-07-01	KHM
M-633	2023-06-26	KHM
M-634	2023-07-07	KHM
M-635	2023-07-19	KHM
H-212	2023-07-19	VNM
H-213	2023-07-21	VNM
H-214	2023-07-19	VNM
H-215	2023-07-19	THA
H-216	2023-07-21	VNM
H-217	2023-07-17	KHM
H-218	2023-07-19	VNM
H-219	2023-07-19	VNM
H-220	2023-07-19	VNM
H-221	2023-07-19	CHN
H-222	2023-07-19	VNM
H-223	2023-07-18	VNM
H-224	2023-07-18	VNM
H-225	2023-07-19	VNM
H-226	2023-07-20	VNM
H-227	2023-07-21	KHM
H-228	2023-07-19	VNM
H-229	2023-07-18	VNM
H-230	2023-07-19	THA
H-231	2023-07-18	KHM
M-636	2023-07-08	VNM
M-637	2023-06-25	VNM
M-638	2023-06-28	KHM
M-639	2023-06-26	KHM
M-640	2023-06-25	KHM
M-641	2023-07-01	KHM
M-642	2023-07-03	KHM
M-643	2023-06-25	KHM
M-644	2023-06-30	KHM
